1,Steelers,8,6,2
2,49ers,6,5,1
3,Cowboys,8,5,3
4,Packers,5,4,1
5,Giants,5,4,1
6,Patriots,8,4,4
7,Raiders,5,3,2
8,Redskins,5,3,2
9,Ravens,2,2,0
10,Colts,4,2,2
11,Dolphins,5,2,3
12,Broncos,7,2,5
13,Saints,1,1,0
14,Jets,1,1,0
15,Buccaneers,1,1,0
16,Bears,2,1,1
17,Chiefs,2,1,1
18,Rams,3,1,2
19,Seahawks,3,1,2
20,Bills,4,0,4
21,Vikings,4,0,4
22,Bengals,2,0,2
23,Eagles,2,0,2
24,Falcons,1,0,1
25,Panthers,1,0,1
26,Cardinals,1,0,1
27,Titans,1,0,1
28,Chargers,1,0,1